movie_name,release_date,earning
Gone with the Wind,2021,"$402,382,193"
Mamma Mia! Here We Go Again,2022,"$402,264,843"
Eternals,2010,"$402,064,899"
Dune,2006,"$402,027,830"
Uncharted,2012,"$401,748,820"
Tron: Legacy,1978,"$400,063,852"
Mission: Impossible III,1995,"$398,479,497"
Snow White and the Huntsman,2022,"$396,592,829"
Grease,2018,"$396,271,103"
Toy Story,2006,"$394,436,586"
Black Adam,1991,"$392,952,111"
Solo: A Star Wars Story,1981,"$392,924,807"
Superman Returns,2016,"$391,081,192"
Robin Hood: Prince of Thieves,2007,"$390,493,908"
Indiana Jones and the Raiders of the Lost Ark,2015,"$389,925,971"
Independence Day: Resurgence,2019,"$389,681,935"
Live Free or Die Hard,2015,"$388,156,011"
Monster Hunt,2009,"$387,053,506"
Godzilla: King of the Monsters,2019,"$386,600,138"
Home,2006,"$386,041,607"
Star Trek,2018,"$385,680,446"
1917,2017,"$384,577,421"
Happy Feet,1985,"$384,336,108"
Spider-Man: Into the Spider-Verse,2002,"$384,256,930"
Cars 3,2016,"$383,930,656"
Back to the Future,2017,"$383,336,762"
Ice Age,2009,"$383,257,136"
Your Name.,2021,"$382,238,181"
Fifty Shades Darker,1998,"$381,545,846"
Monsters vs. Aliens,1994,"$381,509,870"
Black Widow,2008,"$379,751,655"
Godzilla,2019,"$379,014,294"
True Lies,2012,"$378,882,411"
Slumdog Millionaire,2013,"$378,410,542"
Once Upon a Time in Hollywood,2004,"$377,617,598"
Taken 2,2000,"$376,152,455"
G.I. Joe: Retaliation,2011,"$375,740,705"
Shark Tale,2005,"$374,583,879"
What Women Want,2014,"$374,111,707"
The Adventures of Tintin,2009,"$373,993,951"
Batman Begins,2007,"$373,672,993"
Penguins of Madagascar,2018,"$373,515,621"
X-Men Origins: Wolverine,2005,"$373,062,864"
The Golden Compass,2009,"$372,234,864"
Fifty Shades Freed,2011,"$371,985,018"
Hitch,2014,"$371,594,210"
Terminator Salvation,1998,"$371,353,001"
Captain America: The First Avenger,2014,"$370,569,774"
Edge of Tomorrow,1993,"$370,541,256"
There's Something About Mary,2001,"$369,884,651"
Gone Girl,2002,"$369,330,363"
The Fugitive,2018,"$368,875,760"
Jurassic Park III,1995,"$368,780,809"
My Big Fat Greek Wedding,2019,"$368,744,044"
Hello Mr. Billionaire,2018,"$366,961,907"
Die Hard with a Vengeance,2007,"$366,101,666"
Shazam!,2020,"$366,080,049"
The Nun,1999,"$365,582,797"
Alvin and the Chipmunks,1998,"$365,352,546"
Tenet,2014,"$365,304,105"
Notting Hill,2004,"$363,889,678"
A Bug's Life,2001,"$363,258,859"
Night at the Museum: Secret of the Tomb,2013,"$363,204,635"
Ocean's Twelve,1999,"$362,744,280"
Planet of the Apes,2018,"$362,211,740"
The Hangover Part III,2009,"$362,000,072"
The World Is Not Enough,2014,"$361,832,400"
Monster Hunt 2,2010,"$361,682,618"
Fast & Furious,1992,"$360,366,870"
Noah,2012,"$359,200,044"
The Karate Kid,2002,"$359,126,022"
Home Alone 2: Lost in New York,1986,"$358,994,850"
Hotel Transylvania,2016,"$358,375,603"
Minority Report,1999,"$358,372,926"
Top Gun,2001,"$357,288,178"
The Legend of Tarzan,1995,"$356,700,357"
American Beauty,1988,"$356,296,601"
Spirited Away,2013,"$355,822,319"
Apollo 13,2019,"$355,237,933"
Rain Man,2004,"$354,825,435"
The Great Gatsby,1992,"$353,659,851"
Dumbo,2017,"$353,284,621"
"I, Robot",2011,"$353,133,898"
Basic Instinct,2016,"$352,927,224"
Murder on the Orient Express,1995,"$352,794,081"
X-Men: First Class,2002,"$352,616,690"
The Angry Birds Movie,2013,"$352,333,929"
GoldenEye,2001,"$352,194,034"
Catch Me If You Can,1994,"$352,114,312"
Now You See Me,2018,"$351,723,989"
Hannibal,1994,"$351,692,268"
The Mask,2000,"$351,583,407"
Peter Rabbit,2018,"$351,496,066"
Speed,1998,"$350,448,145"
Dinosaur,2012,"$349,822,765"
Mary Poppins Returns,2014,"$349,546,142"
